sec,hr,ve,vo2,vco2,fat,cho,phases,rer
462.0,0,143.415,4271.4614596,4148.5848275,3000,27560,NONE,0.9712331169876676
464.0,0,153.504,4751.7966438,4595.3992666,3815,30150,NONE,0.9670866855373405
465.0,0,150.185,4591.4413157,4459.7742784,3215,29635,NONE,0.971323375766608
466.0,0,147.074,4288.3944589,4176.9930825,2722,27978,NONE,0.974022591096115
467.0,0,150.153,4504.704191,4386.1490677,2896,29350,NONE,0.9736819293180532
468.0,0,148.848,4538.6302625,4439.886601,2415,30107,NONE,0.9782437308639438
470.0,0,157.316,4592.4519225,4484.7028312,2634,30261,NONE,0.976537785671288
471.0,0,160.345,4696.2283564,4616.7822581,1945,31742,NONE,0.9830829993197134
472.0,0,155.571,4509.1530557,4489.5025467,482,31952,NONE,0.9956420842767446
473.0,0,145.905,4227.5168894,4184.8026316,1047,29323,NONE,0.9898961355051944
474.0,0,155.211,4490.4618467,4450.5269413,979,31289,NONE,0.9911067264875332
476.0,0,150.252,4382.6119235,4324.7876261,1417,30046,NONE,0.9868059736044754
477.0,0,151.748,4499.0891816,4450.3255418,1195,31121,NONE,0.9891614418315088
478.0,0,148.314,4361.5009774,4289.4505886,1764,29525,NONE,0.9834803685306174
479.0,0,155.593,4559.1135472,4468.5180642,2217,30466,NONE,0.980128706586911
480.0,0,151.918,4514.1701984,4433.5449985,1973,30401,NONE,0.982139530333044
482.0,0,147.827,4415.4459938,4373.7937182,1021,30704,NONE,0.9905666889237268
483.0,0,141.885,4239.3689528,4151.6209084,2146,28238,NONE,0.9793016259313676
484.0,0,149.213,4508.1069417,4457.4455106,1242,31136,NONE,0.9887621496661088
485.0,0,143.712,4346.6428975,4280.4861188,1620,29571,NONE,0.984779798971282
487.0,0,143.905,4458.4859492,4292.7975382,4038,27800,NONE,0.9628375163928172
488.0,0,151.306,4638.2212575,4487.4496481,3678,29478,NONE,0.9674936573678534
489.0,0,158.975,4731.1773168,4560.366587,4164,29630,NONE,0.963896781210574
490.0,0,150.516,4523.6840098,4442.134245,1996,30445,NONE,0.9819727097155034
492.0,0,142.364,4160.0340763,4056.5028975,2530,27258,NONE,0.9751129012644814
494.0,0,91.749,3419.0484618,3265.0821894,3746,20627,NONE,0.95496809298838
495.0,0,157.44,5346.9668139,5065.8250798,6829,31224,NONE,0.9474203330813384
496.0,0,157.727,5093.6785686,4878.1790207,5246,31087,NONE,0.9576927470004788
497.0,0,154.224,4652.654862,4474.8769508,4332,28886,NONE,0.9617900066794164
499.0,0,160.966,4623.4557303,4532.9931064,2213,30932,NONE,0.9804339807328208
500.0,0,157.8,4554.1817339,4466.9393251,2135,30517,NONE,0.9808434502842536
501.0,0,158.975,4584.8162636,4508.5604714,1867,31023,NONE,0.9833677539478708
502.0,0,161.077,4674.1325631,4602.2444822,1761,31779,NONE,0.9846200166705752
503.0,0,161.575,4502.5967011,4459.8073606,1049,31302,NONE,0.9904967414715276
504.0,0,151.632,4325.8125491,4275.7457108,1227,29839,NONE,0.988426026848894
506.0,0,149.386,4433.6404432,4377.6203093,1373,30461,NONE,0.9873647548515307
507.0,0,155.424,4606.7088318,4560.4089168,1135,31960,NONE,0.9899494592147018
508.0,0,152.38,4457.2431995,4434.0388107,570,31486,NONE,0.9947940043292672
509.0,0,149.445,4304.4407014,4279.865375,603,30350,NONE,0.9942907039253656
511.0,0,161.157,4754.3176254,4648.8918889,2578,31486,NONE,0.9778252643582832
512.0,0,165.929,4742.7389615,4752.2537449,0,34163,NONE,1.0020061790195998
513.0,0,159.196,4455.1334551,4446.463188,213,31850,NONE,0.998053870397513
